"id","category","author","title","tags","notes","duplicate_candidate","format","size_mb","relative_path","original_name"
"B119","06_investing_fundamental","","US Stock Market Without the Fluff (RU)","us-markets","","False","pdf","14,15","06_investing_fundamental/Amerikanskiy fondovyy rynok bez vody.pdf","Американский фондовый рынок без воды.pdf"
"B120","06_investing_fundamental","John Bogle","The Clash of the Cultures (RU)","bogle;index","","False","pdf","3,91","06_investing_fundamental/Bogle John - Investory protiv spekulyantov.pdf","Джон Богл-Инвесторы против спекулянтоврынком.PDF"
"B121","06_investing_fundamental","Philip Fisher","Common Stocks and Uncommon Profits (RU)","fisher;growth","","False","djvu","1,7","06_investing_fundamental/Fisher Philip - Obyknovennye aktsii i neobyknovennye dohodi.djvu","Ф.Фишер.Обыкновенные акции и необыкновенные доходы.djvu"
"B122","06_investing_fundamental","","Fundamental Analysis (large volume)","fundamental","54MB — likely multi-part/scan","False","pdf","54,38","06_investing_fundamental/Fundamentalnyy analiz (sbornik).pdf","Фундаментальный анализ.pdf"
"B123","06_investing_fundamental","Benjamin Graham","Security Analysis (RU)","graham;value","","False","djvu","6,5","06_investing_fundamental/Graham Benjamin - Analiz tsennyh bumag.djvu","Bendzhamin_Grekhem_-_Analiz_tsennykh_bumag.djvu"
"B124","06_investing_fundamental","F.A. Hayek","Hayek on Money","hayek;macro","","False","pdf","0,27","06_investing_fundamental/Hayek F - Money.pdf","Hayek-Money.pdf"
"B125","06_investing_fundamental","Peter Krass","The Book of Investing Wisdom (RU)","anthology","","False","pdf","20,19","06_investing_fundamental/Krass Peter - Kniga investitsionnoy mudrosti.pdf","Питер Красс, Книга инвестиционной мудрости.pdf"
"B126","06_investing_fundamental","Scott Patterson","The Quants (RU)","quant;narrative","","False","docx","2,02","06_investing_fundamental/Patterson Scott - Kvanty.docx","Skott_Patterson_Kvanty.docx"
"B127","06_investing_fundamental","","Securities and Derivatives Market (RU)","markets;textbook","","False","pdf","2,08","06_investing_fundamental/Rynok tsennyh bumag i PFI.pdf","Рынок ценных бумаг и производных финансовых инструментов.pdf"
"B128","06_investing_fundamental","Vera Smith","The Rationale of Central Banking (RU)","central-banking","","False","doc","0,98","06_investing_fundamental/Smith Vera - Proishozhdenie tsentralnyh bankov.doc","Вера Смит. Происхождение центральных банков.doc"
"B129","06_investing_fundamental","K. Tsarikhin","Fundamental Analysis (RU)","fundamental","Renamed from double .pdf.pdf","False","pdf","1,48","06_investing_fundamental/Tsarikhin K - Fundamentalnyy analiz.pdf","К.Царихин.Фундаментальный анализ.pdf.pdf"
"B130","06_investing_fundamental","James Weatherall","The Physics of Wall Street (RU)","quant-history","","False","pdf","3,15","06_investing_fundamental/Weatherall James - Fizika fondovogo rynka.pdf","Джеймс Уэзеролл-Физика фондового рынка.pdf"
"B131","06_investing_fundamental","R. Yamarone","The Trader's Guide to Key Economic Indicators (RU)","macro;indicators","","False","djvu","5,29","06_investing_fundamental/Yamarone R - Klyuchevye ekonomicheskie indikatory.djvu","Р.Ямароне.Ключевые экономические индикаторы.Руководство трейдера.djvu"
"B132","07_crypto_defi","Andreas Antonopoulos","Mastering Bitcoin","bitcoin;core","","False","pdf","11,36","07_crypto_defi/Antonopoulos Andreas - Mastering Bitcoin.pdf","Книга  - Mastering Bitcoin.pdf"
"B133","07_crypto_defi","","How to DeFi (RU)","defi","","False","pdf","5,24","07_crypto_defi/How to DeFi (Russian).pdf","How_to_DeFi_Russian.pdf"
"B134","07_crypto_defi","Vladimir Popov","ICO: Essence, Problems, Law (RU)","ico","","False","pdf","0,79","07_crypto_defi/Popov Vladimir - ICO sushchnost problemy zakon.pdf","Владимир Попов - ICO сущность, проблемы, закон.pdf"
"B135","07_crypto_defi","Nathaniel Popper","Digital Gold (RU)","bitcoin;history","","False","pdf","33,53","07_crypto_defi/Popper Nathaniel - Tsifrovoe Zoloto.pdf","Цифровое Золото.pdf"
"B136","07_crypto_defi","Adam Tepper","Bitcoin and Money (RU)","bitcoin","","False","pdf","1,15","07_crypto_defi/Tepper Adam - Bitcoin i dengi.pdf","adam-tepper-bitkoi-774-n-dengi-dlya-v.pdf"
"B137","08_derivatives_options","A. Burenin","Futures, Forwards and Options Markets (RU)","derivatives","","False","pdf","1,42","08_derivatives_options/Burenin A - Fyuchersnye forvardnye i optsionnye rynki.pdf","А.Буренин.Фьючерсные, форвардные и опционные рынки.pdf"
"B138","08_derivatives_options","M. Chekulaev","Trading Volatility (alt version, RU)","volatility;options;alt-version","Alternate scan/version — different SHA256 from main copy; both kept","False","doc","0,46","08_derivatives_options/Chekulaev M - Torgovlya volatilnostyu (alt).doc","М.Чекулаев.Торговля волатильностью1.doc"
"B139","08_derivatives_options","M. Chekulaev","Trading Volatility (RU)","volatility;options","Moved from _review_duplicates; pair with (alt) — different hashes","False","doc","0,41","08_derivatives_options/Chekulaev M - Torgovlya volatilnostyu.doc","М.Чекулаев.Торговля волатильностью.doc"
"B140","08_derivatives_options","Kevin Connolly","Buying and Selling Volatility (RU)","volatility;options","","False","pdf","9,46","08_derivatives_options/Connolly K - Pokupka i prodazha volatilnosti.pdf","K_Konnolli_Pokupka_i_prodazha_volatilnosti.pdf"
"B141","08_derivatives_options","A. Feldman","Derivatives: Financial and Commodity (RU)","derivatives","","False","doc","3,03","08_derivatives_options/Feldman A - Proizvodnye finansovye i tovarnye instrumenty.doc","А.Фельдман.Производные финансовые и товарные инструменты.doc"
"B142","08_derivatives_options","A. Shvedov","Interest Rate Instruments: Pricing & Hedging (RU)","rates;hedging","","False","djvu","0,85","08_derivatives_options/Shvedov A - Protsentnye instrumenty otsenka i hedzhirovanie.djvu","А.Шведов.Процентные финансовые инструменты-оценка и хеджирование.djvu"
"B143","09_programming_quant","Cory Althoff","Self-Taught Computer Scientist (RU)","cs","","False","pdf","3,1","09_programming_quant/Althoff Cory - Computer Science dlya programmista samouchki.pdf","Альткофф_Кори_Computer_Science_для_программиста_самоучки.pdf"
"B144","09_programming_quant","Mikhail Flenov","C# Bible 4th ed. 2019 (RU)","csharp","","False","pdf","10,58","09_programming_quant/Flenov Mikhail - Bibliya C Sharp 4e izd 2019.pdf","Библия C# 4е изд. Михаил Фленов 2019 (1).pdf"
"B145","09_programming_quant","Marcos Lopez de Prado","Advances in Financial ML / Mashinnoe obuchenie: algoritmy dlya biznesa (RU)","ml;afml;quant;prado;core-architect","Identified: Lopez de Prado; Piter 2019, 432p. Key for market architecture / ML research stack.","False","pdf","9,37","09_programming_quant/Lopez de Prado Marcos - Mashinnoe obuchenie algoritmy dlya biznesa.pdf","Машинное_обучение__а.pdf"
"B146","09_programming_quant","","Programming in Rust (RU)","rust","","False","pdf","6,4","09_programming_quant/Programmirovanie na Rust.pdf","Программирование_на_Rust.pdf"
"B147","09_programming_quant","Matt Weisfeld","The Object-Oriented Thought Process (RU)","oop","","False","pdf","17,15","09_programming_quant/Weisfeld Matt - Obektno-orientirovannyy podhod.pdf","Мэтт Вайсфельд - Объектно-ориентированный подход.pdf"
"B148","10_misc","Alexander Davidson","Sliding on the Edge of the Stock Market (RU)","narrative;fiction;markets","Identified from DOC text; RU translation by A. Shmatov","False","doc","0,98","10_misc/Davidson Alexander - Skolzyashchiy po lezviyu fondovogo rynka.doc","skolzyashiy_po_lezviyu_fondovogo_rinka.doc"
"B149","10_misc","Maxim Kotin","Geeks Do Business Too (RU)","business;startup","","False","pdf","0,7","10_misc/Kotin Maxim - I botaniki delayut biznes.pdf","I_botaniki_delayut_biznes_-_Maxim_Kotin.pdf"
"B150","10_misc","Karl Popper","The Logic of Scientific Discovery (RU)","philosophy;science","","False","fb2","0,09","10_misc/Popper Karl - Logika nauchnogo issledovaniya.fb2","Поппер Карл Логика научного исследования (2004).fb2"
"B151","10_misc","Michael Ridpath","Free to Trade / Vse prodaetsya (RU)","fiction;thriller;markets","Fiction thriller (not psychology textbook). Identified from DOC text.","False","doc","1,71","10_misc/Ridpath Michael - Vse prodaetsya.doc","Все продается.doc"
